재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립년월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,
목포시 재활용선별센터,직영,전라남도 목포시 대양로 241-55,,34.827858,126.407963,1404,2004-08,4,"페트, 혼합플라스틱, 철캔, 고철, 폐기, 알캔, 플라스틱, 병류, 스티로폼 등",전라남도 목포시청,061-270-8683,,07:00,17:00,00:00,00:00,"매주 일용일, 공휴일",,,061-270-8683,전라남도 목포시청,2017-05-15,
보성군 환경자원사업소,직영,전라남도 보성군 보성읍 평동로 1654-30(용문리),전라남도 보성군 보성읍 용문리 616,34.465105,127.058027,198,2008-01,4,"플라스틱류, 병류, 스티로폼류, 고철류 등",보성군,061-850-5859,보성군수,09:00,18:00,00:00,00:00,법정 공휴일,,,061-850-5341,보성군청 환경생태과,2017-02-08,
여수시 재활용품선별장,직영,전라남도 여수시 진달래길 310-157(월내동),전라남도 여수시 월내동 200-5번지,34.847655,127.738662,1211,2011-01,0,"폐지, 고철, 철캔, 알루미늄캔, 유리병, 잡병, 페트병, 플라스틱류, 스티로폼",전라남도 여수시,061-659-3839,주철현,09:00,18:00,00:00,00:00,"토, 일, 공휴일",해당없음,해당없음,061-659-3839,전라남도 여수시청,2017-03-31,
해남군 재활용품 선별시설,직영,전라남도 해남군 해남읍 호교길 73-265,전라남도 해남군 해남읍 복평리 893-1,34.565000,126.539000,1.044,2013_04,3,재활용품 선별,해남군청,061-530-5769,해남군수,09:00,18:00,24:00,24:00,,,www.haenam.go.kr,061-530-5769,해남군수,2017-11-14,
영암군 공공재활용선별시설,직영,전라남도 영암군 군서면 녹색환경길 374,전라남도 영암군 군서면 도장리 1094-1,34.806946,126.609937,1209,2017-10,1,"고지, 고철, 소각고철, 철캔, 알루미늄캔, PET, PE, PP, PS, 플라스틱, 공병, 잡병, 스티로폼(인고트)",영암군(지자체),061-470-2169,영암군수(전동평),10:00,18:00,10:00,10:00,"매주 토요일, 일요일, 공휴일",해당없음,해당없음,061-470-2169,영암군,2017-05-15,
군산시재활용선별시설,직영,전라북도 군산시 새만금북로 630-28,전라북도 군산시 내초동 201-7,35.948197,126.606082,3071,2003-12,2,페트병 외 9개품목,군산시,063-454-7895,군산시장,09:00,18:00,09:00,18:00,"주휴일,근로자의날",해당없음,해당없음,063-454-7895,군산시청,2017-05-15,
임실군 생활쓰레기처리장,직영,전라북도 임실군 관촌면 관진로 233,전라북도 임실군 관촌면 복흥리 620,35.678597,127.291534,1133.5,2012-01,1,종이+PET+플라스틱+유리병+고철+스티로폼,임실군청,063-640-2391,임실군수,09:00,18:00,09:00,18:00,연중무휴,,,063-640-2391,전라북도 임실군청,2017-04-24,
종합리싸이클링타운,위탁,전라북도 전주시 완산구 삼산길 51-24,전라북도 전주시 완산구 삼천동3가 749-5,35.7983708,127.0754908,44160,2016-09,0,"플라스틱류, 고철.캔,유리병, 비닐류 등",전주리싸이클링에너지㈜,063-250-8035,박세원,08:00,17:00,08:00,17:00,"토(격주),일, 명절",,,063-281-2836,전라북도 전주시청,2017-08-29,
익산시 생활자원 회수센터,위탁,전라북도 익산시 선화로 798,전라북도 익산시 부송동 157-93,35.967264,127.000364,2972,2014-01,19,시홈페이지,(유)행복나누미,063-840-4430,김형섭,05:30,16:30,05:30,11:00,없음,없음,www. Iksan.go.kr,063-859-5471,익산시청,2017-12-17,
대정읍 동일1리 재활용 도움센터,직영,제주특별자치도 서귀포시 대정읍 동일하모로 90,제주특별자치도 서귀포시 대정읍 동일리 2829-3,33.2286091,126.2394609,99.89,2017-07,0,생활쓰레기 배출,제주특별자치도 서귀포시,,,08:00,22:00,08:00,22:00,,,,064-760-3203,서귀포시청,2017-11-27,
안덕면 재활용 도움센터,직영,제주특별자치도 서귀포시 안덕면 화순로 154-42,제주특별자치도 서귀포시 안덕면 화순리 1989,33.2501866,126.327861,95.02,2017-09,0,생활쓰레기 배출,제주특별자치도 서귀포시,,,06:00,22:00,06:00,22:00,,,,064-760-3203,서귀포시청,2017-11-27,
천지동 재활용 도움센터,직영,제주특별자치도 서귀포시 서문서로 46-1(서귀동),제주특별자치도 서귀포시 서귀동 305-1,33.2516021,126.5572355,85,2016-01,0,생활쓰레기 배출,제주특별자치도 서귀포시,,,00:00,24:00,00:00,24:00,,,,064-760-3203,서귀포시청,2017-11-27,
중문동 재활용 도움센터,직영,제주특별자치도 서귀포시 중문상로17번길 3(중문동),제주특별자치도 서귀포시 중문동 2129-3,33.2501288,126.4220074,83.8,2017-11,0,생활쓰레기 배출,제주특별자치도 서귀포시,,,08:00,24:00,08:00,24:00,,,,064-760-3203,서귀포시청,2017-11-27,
금산군재활용선별장,직영,충청남도 금산군 추부면 용천로798-51,충청남도 금산군 추부면 용지리 430,36.1710795,127.4388535,528,2016-01,0,"PET,공병,파지",충청남도 금산군청,041-750-2554,박동철,09:00,18:00,00:00,00:00,법정공휴일,,,041-750-2554,충청남도 금산군청,2016-12-31,
서산시 재활용센터,위탁,충청남도 서산시 번화1로 19,충청남도 서산시 읍내동 225,36.781809,126.451652,333.48,2016-03,1,"중고 의류, 재활용 장난감, 도서, 잡화 등",서산 YMCA,041-668-0848,박상길,10:00,16:00,00:00,00:00,"토요일, 일요일",,,041-660-2050,충청남도 서산시청,2017-01-17,
논산시재활용센터,직영,충청남도 논산시 부창로 72,충청남도 논산시 부창동 593,36.1954758,127.0857118,1871.9,1995-09,0,"파지(신문),의류,고철 등",충청남도 논산시청,041-746-5535,황명선,09:00,18:00,23:59,23:59,"매주토,일요일 및 공휴일",,,041-746-5535,충청남도 논산시청,2017-11-20,
강경읍재활용센터,직영,충청남도 논산시 강경읍 옥녀봉로 66-3,충청남도 논산시 강경읍 홍교리 32-1,36.1640364,127.0151088,91,2001-03,0,"파지(신문),의류,고철 등",충청남도 논산시청,041-746-8522,황명선,09:00,18:00,23:59,23:59,"매주토,일요일 및 공휴일",,,041-746-8522,충청남도 논산시청,2017-11-20,
연무읍재활용센터,직영,충청남도 논산시 연무읍 안심로 50,충청남도 논산시 연무읍 마산리 700-1,36.1251142,127.0990733,108,1997-04,0,"파지(신문),의류,고철 등",충청남도 논산시,041-746-8547,황명선,09:00,18:00,23:59,23:59,"매주토,일요일 및 공휴일",,,041-746-8547,충청남도 논산시청,2017-11-20,
영동군자원순환센터,직영,충청북도 영동군 용산면 남부로 621-39,충청북도 영동군 용산면 율리 800번지,36.2207185,127.8009978,1187,2009-12,2,"폐지,우유팩,고철,알미늄캔, 철캔, 플라스틱, 병류, 장판, 스티로품",영동군,043-740-3415,영동군수,09:00,18:00,09:00,12:00,,,,043-740-3415,충청북도 영동군청,2017-05-01,
청주시재활용(3R)센터,위탁,충청북도 청주시 서원구 무심서로 333,충청북도 청주시 서원구 모충동 94-9,36.6236516,127.4908625,1070,2017-01,3,"가구, 세탁기, 냉장고 등",㈜청주재활용센터,043-285-7289,박흥규,09:00,18:00,09:00,18:00,"매주 일요일, 공휴일",판매일로부터 6개월 이내 무상수리,www.cjrecycling.co.kr,043-201-4672,충청북도 청주시청,2017-03-07,
공주시 재활용센터,직영,충청남도 공주시 봉황로 125,충청남도 공주시 교동 120,36.457293,127.120835,30,2016-02,0,재활용품,공주시청,041-852-1006,오시덕,09:00,18:00,00:00,00:00,"토요일,일요일,공휴일",,,041-840-8576,공주시청,2017-05-19,
공공재활용기반시설,위탁,충청남도 부여군 장암면 북고로 201,충청남도 부여군 장암면 북고리 551-1,36.239094,126.927043,1945.14,2013-05,3,"PET, PE, PP, PS, EPS인고트, 유리병, 폐지, 우유팩, 철캔 등 59종목",엠엔테크,041-837-6470,오명석,09:00,18:00,00:00,00:00,"매주토요일, 일요일, 공휴일",,,041-830-2308,충청남도 부여군청,2017-05-15,
서천군재활용처리시설,직영,충청남도 서천군 비인면 충서로 636,충청남도 서천군 비인면 관리 547-1,36.118156,126.625235,1021.65,2006-12,20,"PET, PE, PP, PS, 종이류, 스티로품, 고철, 캔, 비닐, 유리병 등",충청남도 서천군,041-950-4336,서천군수,09:00,18:00,09:00,13:00,매주일요일,-,-,041-950-4336,충청남도 서천군청,2017-05-08,
천안시 재활용센터,위탁,충청남도 천안시 동남구 천안천6길 59-19,충청남도 천안시 동남구 신부동 932,36.820064,127.150724,397.23,2003-03,2,"의류,가전,사무용품,가구등",천안지역자활센터,041-568-7171,한동희,09:00,19:00,00:00,00:00,"일요일,공휴일",판매일로부터 6개월 무상수리,없음,041-521-5424,충청남도 천안시,2017-11-28,
자원관리센터,직영,충청북도 증평군 도안면 천광길 125,충청북도 증평군 도안면 광덕리 48번지,36.500000,127.370000,330,1995-01,0,종이류외8종,증평군,043-835-4292,증평군수,09:00,18:00,09:00,18:00,토요일,,,,충청북도 증평군청,2017-05-18,
옥천군 생활자원회수센터,직영,충청북도 옥천군 군북면 이평1길 199,충청북도 옥천군 군북면 추소리 1,36.344644,127.580621,1472,2004-12,1,재활용가능 자원,옥천군,043-730-3454,옥천군수,09:00,18:00,00:00,00:00,공휴일,해당없음,없음,043-730-3454,옥천군,2017-10-30,
자원관리센터,직영,충청북도 증평군 도안면 천광길 125,충청북도 증평군 도안면 광덕리 48번지,36.8424880,127.6340130,330,1995-01,0,종이류외8종,증평군,043-835-4292,증평군수,09:00,18:00,09:00,18:00,토요일,,,,충청북도 증평군청,2017-11-16,
제천시자원관리센터,직영,충청북도 제천시 북부로 1860,충청북도 제천시 신동 653,37.118061975,128.173946942,150,2008.06,1,가구,제천시,,제천시장,09:00,16:00,09:00,16:00,,,,043-641-6454,충청북도 제천시청,2017-11-27,
